ArmCount,Biomarkers,Condition,Controls,DevStatus,DevStatusId,Drug,DrugId,EnrollmentCount,Interventions,Patients,ProtocolAcronym,ProtocolTitle,Reference,Sponsor,TrialId,TrialStartDate,TrialStatus
2,FEV1; serum cortisol,Asthma,fluticasone propionate,Phase 2 Clinical,C2,"fluticasone furoate (inhaled, respiratory disorders), GlaxoSmithKline",57097,40,GW685698X,40,null,"A phase II, multicenter, randomized, double-blind, placebo-controlled, incomplete block, three-way crossover study to determine the effect of repeat inhaled doses of GW685698X compared to fluticasone propionate, on airway responsiveness to adenosine 5'-monophosphate (AMP) in patients with mild asthma",FFA10022,GlaxoSmithKline plc,87425,"SEPTEMBER, 11, 2003",Completed
2,null,Allergic rhinitis,fluticasone propionate,Phase 4 Clinical,C4,"fluticasone furoate (nasal, allergic rhinitis), GSK",42259,360,fluticasone furoate,360,null,Comparator Study Evaluating Patient Experience And Preference Of FFNS versus FPNS,FFU105927; NCT00519636,GlaxoSmithKline plc,11559,"AUGUST   , 31, 2007",Completed
2,null,Psoriasis,"calcipotriol + betamethasone dipropionate, LEO",Phase 2 Clinical,C2,"betamethasone valerate (transdermal patch, skin diseases), Institut Biochimique",78444,20,"betamethasone valerate (transdermal patch, skin diseases), Institut Biochimique",20,null,"An Exploratory, Open-Label, Intra-Individual, Active-Controlled Study Comparing the Efficacy and Safety of Betesil Versus Daivobet for the Treatment of Chronic Plaque Psoriasis",08F/BET01; EudraCT 2008-005518-29,Laboratoires Genevrier SA,118017,"DECEMBER , 01, 2008",Recruiting
3,null,Alopecia areata,null,Phase not specified,NS,"triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",12937,60,minoxidil; tacrolimus; triamcinolone acetonide,60,null,"Comparative Study of the Safety and Efficacy Of Intralesional Steroid, Tacrolimus (0.1%) Ointment and Minoxidil (5%) in the Treatment of Alopecia Areata",CTRI/2013/08/003880,Father Muller Med Coll,154386,"OCTOBER  , 12, 2012",Recruiting
1,Retinal thickness,Eale disease,null,Phase not specified,NS,"triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",12937,100,triamcinolone acetonide,100,null,Clinical study about ophthalmic local administrations of triamcinolone acetonide for macular edema and/or retinal periphlebitis,JPRN-UMIN000005778,Yamagata University,121608,"JULY     , 01, 2006",Recruiting
1,null,Gastrointestinal disease,null,Phase 2 Clinical,C2,"beclomethasone dipropionate (oral, radiation enteritis), Soligenix",49161,2,orBec,2,null,Study of orBec as Monotherapy in the Treatment of Patients With Upper GI Symptoms Caused by Chronic Graft Versus Host Disease (GVHD),BDP-GVHD-08; NCT01925950,Soligenix Inc,151308,"DECEMBER , 31, 2013",Terminated
4,null,Skin atrophy,Karison® Creme; mometasone furoate; nortriptyline HCl,Phase 1 Clinical,C1,"mometasone + nortriptyline (topical cream, psoriasis), CombinatoRx",56234,20,CRx-191,20,null,Phase I study of topical CRx-191 in normal healthy volunteers,CRx-191-002; EudraCT Number: 2006-005903-33; NCT00544687,Zalicus Inc,23649,"SEPTEMBER, 30, 2007",Completed
1+,null,Crohns disease,null,Phase not specified,NS,"budesonide (gastroresistant capsule, Crohn's disease/ulcerative colitis), Dr Falk Pharma/Salix",59671,130,Budenofalk; Entocort; Flagyl; Medrol; azathioprine; folic acid; infliximab; methotrexate; prednisolone,130,null,"The Ideal Management of Crohn's Disease: Top-Down Versus Step-Up Strategies - A Prospective, Controlled Trial in the Benelux",ISRCTN61510219; NTR379,"Academic Medical Center, University of Amsterdam",120593,"MAY      , 01, 2001",Completed
1,intraocular pressure,Macular edema,null,Phase 1 Clinical,C1,"triamcinolone acetonide (controlled release/intravitreal injection/Verisome, diabetic macular edema), EyePoint",60951,10,IBI-20089,10,null,"An Open-Label, Dose-Escalation Study of the Safety and Tolerability of 20089 (Triamcinolone Acetonide Intravitreal Injection) in the Treatment of Patients with Cystoid Macular Edema Associated with Retinal Vein Occlusion or Cataract Surgery",ACTRN12608000603314,Icon Bioscience Inc,120774,"MAY      , 11, 2007",Completed
1,null,Retinitis pigmentosa,null,Phase 2 Clinical,C2,"triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",12937,87,triamcinolone acetonide,87,null,Intravitreal Injection of Triamcinolone Acetonide in Retinitis,IRCT201104266293N1,Tehran University of Medical Sciences,122471,"SEPTEMBER, 23, 2007",No longer recruiting
1,Adrenocorticotropic Hormone; Hydrocortisone,Ulcerative colitis,null,Phase 2 Clinical,C2,"budesonide (oral capsule/enema, Crohn's disease/microsopic colitis/ulcerative colitis), AstraZeneca/ Tillotts Pharma/ Perrigo",55981,2,Entocort; hydrocortisone,2,null,The Use of Oral Budesonide and Rectal Hydrocortisone for the Treatment of Active Ulcerative Colitis,H-30365; NCT00805285,University of Maryland,193417,"OCTOBER  , 31, 2008",Terminated
2+,6 beta-Hydroxycortisol; Hydrocortisone,Asthma,albuterol; montelukast,Phase 3 Clinical,C3,"fluticasone furoate + vilanterol trifenatate  (oral inhalant, asthma/COPD), GlaxoSmithKline",59060,111,Ellipta; albuterol; montelukast,111,null,Effect of Fluticasone Furoate Inhalation Powder on the Hypothalamic-Pituitary-Adrenocortical Axis of Children Aged 5 to 11 Years With Asthma,107118; NCT02483975,GlaxoSmithKline plc,233443,"OCTOBER  , 09, 2015",Completed
3,Blood pressure; Cortisol; Heart rate; Peak expiratory flow rate; Potassium,Asthma,null,Phase 1 Clinical,C1,"fluticasone furoate (nasal, allergic rhinitis), GSK",42259,16,GW-642444M; GW-685698X; fluticasone furoate + vilanterol,16,null,Comparing Two Respiratory Drugs When Used In Combination And Separately From A Novel Inhaler Device In Healthy Subjects,HZA105871; NCT00538057,GlaxoSmithKline plc,23398,"OCTOBER  , 02, 2007",Completed
1,null,Asthma,null,Phase 4 Clinical,C4,"ciclesonide (metered dose inhaler), Teijin/Covis/AstraZeneca",12803,1121,Alvesco,1121,ACCEPT,Asthma Care With Alvesco (Ciclesonide) in Primary Care in Adults,ACCEPT; BY9010/CA-102; NCT00404547,AstraZeneca plc,22240,"NOVEMBER , 30, 2006",Completed
1,CRP; cytokines,Rheumatoid arthritis,null,Phase 2 Clinical,C2,"prednisolone + paroxetine (rheumatoid arthritis, inflammation), CombinatoRx",45643,220,"prednisolone + paroxetine (rheumatoid arthritis, inflammation), CombinatoRx",220,null,"A phase II, multicenter, randomized, blinded study of 14 weeks duration comparing the effect of CRx-139 plus DMARD therapy to that of steroid plus DMARD therapy using ACR-20 in subjects with active rheumatoid arthritis partially responsive to the DMARD",CRx-139-002; CRx-139-RA; CZ::Protocol CRx-139-002; EudraCT 2004-004995-35; Protocol CRx-139-002,Zalicus Inc,133649,"FEBRUARY , 24, 2006",Recruiting
2+,null,Chronic obstructive pulmonary disease,"prednisone; salbutamol, GlaxoSmithKline",Phase 2 Clinical,C2,"beclomethasone dipropionate, (CFC-free), Teva",44414,6,"beclometasone (inhaled, CFC-free), Teva; prednisone; salbutamol, GlaxoSmithKline",6,null,Repeat Emergency Department Visits Among Patients With Asthma and COPD,754754; NCT02499887,State University of New York,235195,"JANUARY  , 31, 2016",Terminated
2,null,Asthma,"beclometasone (inhaled, CFC-free), Teva",Phase 3 Clinical,C3,"ciclesonide (metered dose inhaler), Teijin/Covis/AstraZeneca",12803,1568,"ciclesonide (metered dose inhaler), Nycomed",1568,null,Effects of ciclesonide and beclomethasone on lens opacification in adult subjects with moderate to severe persistent asthma,NCT00254956; SFY6160; XRP1526B/3027,Sanofi SA,22103,"JANUARY  , 31, 2004",Completed
2,null,Ulcerative proctitis,null,Phase 3 Clinical,C3,"budesonide (rectal foam, ulcerative colitis), Dr Falk Pharma/Salix/Ajinomoto/EA Pharma/Kissei/Meda",59670,252,Rectabul; budesonide rectal suppository,252,null,Novel budesonide suppository versus budesonide foam in acute ulcerative proctitis,2016-001921-15; BUS-4/UCA,Dr Falk Pharma GmbH,291869,"MARCH    , 09, 2017",Recruiting
1,null,Asthma,null,Phase 1 Clinical,C1,"870086 (inhaled, asthma), GlaxoSmithKline",54598,20,"870086 (inhaled, asthma), GlaxoSmithKline",20,null,Examine the Effect of Repeat Inhaled Doses of GW-870086X on Lung Function in Mild Asthmatic Male Subjects,NCT00483899; SIG102335,GlaxoSmithKline plc,22317,"OCTOBER  , 31, 2005",Completed
1,null,Pain,null,Phase 4 Clinical,C4,"triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",12937,150,triamcinolone acetonide,150,null,"The Role Of Intra-Operative Peri-Articular Steroid Injection In Reducing Post-Operative Pain And Improving Knee Function After Total Knee Arthroplasty: a Prospective, Randomized, Controlled Trial",ACTRN12609000345280; ANZCTR83890,Rhone-Poulenc Rorer Ltd,134330,"JUNE     , 01, 2009",Not yet recruiting
1,null,Allergic rhinitis,null,Phase 3 Clinical,C3,"fluticasone furoate (nasal, allergic rhinitis), GSK",42259,288,"fluticasone furoate (nasal, allergic rhinitis), GSK",288,null,A Study To Evaluate The Efficacy And Safety Of A Once-Daily Investigational Nasal Spray In Adults And Adolescents With Perennial Allergic Rhinitis (PAR),FFR30002; NCT00103454,GlaxoSmithKline plc,13384,"JANUARY  , 31, 2005",Completed
2,null,Choroidal neovascularization,null,Phase 4 Clinical,C4,"triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",12937,40,photodynamic therapy; triamcinolone acetonide; verteporfin,40,null,"Comparison of Reduced Fluence Versus Standard Photodynamic Therapy (In Combination With Intravitreal Triamcinolone Acetonide): A Prospective, Randomized, Comparative Study",EudraCT 2005-000776-41,Medical University of Vienna,139550,"JUNE     , 22, 2005",Recruiting
1,null,Asthma,null,Phase 4 Clinical,C4,"fluticasone furoate + vilanterol trifenatate  (oral inhalant, asthma/COPD), GlaxoSmithKline",59060,4820,"fluticasone furoate + vilanterol trifenatate  (oral inhalant, asthma/COPD), GlaxoSmithKline",4820,null,"A 12-Month, Open-Label, Randomized, Effectiveness Study to Evaluate Fluticasone Furoate (FF, GW-685698/vilanterol (VI, GW-642444) Inhalation Powder Delivered Once Daily via a Novel Dry Powder Inhaler Compared With Usual Maintenance Therapy in Subjects With Asthma",CCRN 997; UKCRN:13263,GlaxoSmithKline plc,139569,null,Recruiting
1,null,Spinal stenosis,null,Phase not specified,NS,"triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",12937,60,lidocaine; triamcinolone acetonide,60,null,Effect Of Pulsed Radiofrequency Treatment Of The Dorsal Root Ganglion In Spinal Stenosis With Intermittent Neurogenic Claudication,KCT0000743,Asan Medical Center,143635,"OCTOBER  , 06, 2011",Completed
1,Intraocular pressure,Diabetic retinopathy,null,Phase 3 Clinical,C3,"triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",12937,23,triamcinolone acetonide,23,null,Efficacy of Intravitreal Triamcinolone Acetonide before Pan Retinal Photocoagulation for Improvement of Visual Acuity and Macular Edema in Diabetic Retinopathy,ACTRN12607000225415; HREC 356,Farabi Eye Hospital,143664,"NOVEMBER , 01, 2005",Completed
1,Intraocular pressure,Diabetic macular edema,null,Phase 4 Clinical,C4,"triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",12937,19,triamcinolone acetonide,19,null,The Use of Intravitreal Injection of Triamcinolone Acetonide in Diabetic Patients to Reduce Diabetic Macular Edema,ACTRN12613000249752,Suez Canal University,138776,"MARCH    , 25, 2010",Completed
2,intraocular pressure,Ocular inflammation,Tobradex,Phase not specified,NS,"dexamethasone + netilmicin (ophthalmic), SIFI",56575,103,Netildex,103,null,Evaluation of the efficacy and safety of a new steroid-antibiotic ophthalmic gel as anti-inflammatory and antimicrobial topical treatment following microincisional vitreo-retinal surgery,2008-005082-64,SIFI Societa Industria Farmaceutica Italiana SpA,138949,"OCTOBER  , 13, 2008",Status not specified
1,null,Graft versus host disease,null,Phase 3a Clinical,C3A,"beclomethasone dipropionate (oral, radiation enteritis), Soligenix",49161,140,beclomethasone dipropionate; prednisone,140,SUPPORTS,Study of orBec With Prednisone Therapy in the Treatment of Patients With Graft Versus Host Disease (GVHD),2010-022247-37; ACTRN12610000593033; BDP-GVHD-03; NCT00926575; SUPPORTS,Soligenix Inc,58209,"OCTOBER  , 31, 2009",Terminated
1,null,Choroid disease,null,Phase 1 Clinical,C1,"fluocinolone acetonide (intraocular implant), Alimera/pSivida",52822,16,fluocinolone acetonide,16,null,Fluocinolone implant to treat macular degeneration,01-EI-0058; 010058; NCT00008515,National Eye Institute,4710,"JANUARY  , 31, 2001",Completed
4,Forced expiratory volume,Chronic obstructive pulmonary disease,Symbicort; budesonide; formoterol,Phase 3 Clinical,C3,"budesonide + formoterol (inhalant aerosol, chronic obstructive pulmonary disease), Pearl Therapeutics",70143,3316,PT-009,2389,TELOS,"Study to Assess Efficacy and Safety of PT-009 Compared to PT-005, PT-008 and Symbicort Turbuhaler on Lung Function Over 24 Weeks in Subjects With Moderate to Very Severe COPD",2016-000154-34; D7820C00001; NCT02766608; PT009002; TELOS,"AstraZeneca AB, Pearl Therapeutics Inc",260435,"MAY      , 31, 2016",Completed
1,null,Ulcerative colitis,null,Phase 3 Clinical,C3,"budesonide (rectal foam, ulcerative colitis), Dr Falk Pharma/Salix/Ajinomoto/EA Pharma/Kissei/Meda",59670,120,Rectabul,120,null,Phase III study of AJG-511 in patients with active ulcerative colitis,AJG511/CT1; JapicCTI-142704,EA Pharma Co Ltd,215968,"NOVEMBER , 30, 2014",Completed
1,Forced expiratory volume; Peak expiratory flow rate,Asthma,null,Phase 3 Clinical,C3,"beclomethasone dipropionate, (CFC-free), Teva",44414,1113,Qvar,1113,null,A Safety and Efficacy Study of Beclomethasone Dipropionate Delivered Via Breath-Actuated Inhaler (BAI) or Metered-Dose Inhaler (MDI) in Participants >/= 12 Years Old With Persistent Asthma,2013-003397-27; BDB-AS-301; DRKS00005827; NCT02031640,Teva Pharmaceutical Industries Ltd,167002,"DECEMBER , 31, 2013",Completed
1,Serum cortisol,Asthma,null,Phase 1 Clinical,C1,"fluticasone furoate (inhaled, respiratory disorders), GlaxoSmithKline",57097,48,GW-685698X,48,null,A Study of GW-685698X in Healthy Japanese Male Subjects,112018; HZA112018; NCT00972673,GlaxoSmithKline plc,60174,"SEPTEMBER, 24, 2008",Completed
1,Anterior chamber,Cataract,null,Phase 2 Clinical,C2,"dexamethasone (EyeGate II ocular inflammation therapy, iontophoresis delivery), EyeGate/ Bausch Health",54573,45,EGP-437,45,null,Safety and Efficacy of Iontophoretic Dexamethasone Phosphate Delivery Prior to Implantation of a Posterior Chamber IOL,EGP-437-005; NCT01602068,Eyegate Pharmaceuticals Inc,87599,"MAY      , 31, 2012",Completed
3,Afamin; Afamin; Angiopoietin-2; Angiopoietin-2; Angiotensinogen; Angiotensinogen; Ankle motion; Blood pressure; Body Mass Index; Body height; Body temperature; C-C motif chemokine 22; C-C motif chemokine 22; Collagen type I trimeric cross-linked peptide; Dystrophin; Elbow motion; Fibrinogen gamma chain; Fibrinogen gamma chain; Glucose; Growth hormone receptor; Growth hormone receptor; Heart rate; Hydrocortisone; Insulin; Insulin; Insulin-like growth factor binding protein 2; Insulin-like growth factor binding protein 2; Insulin-like growth factor-binding protein 5; Insulin-like growth factor-binding protein 5; Integrin alpha-1; Integrin alpha-1; Integrin alpha1beta1; Integrin alpha1beta1; Interleukin-22 receptor subunit alpha-2; Interleukin-22 receptor subunit alpha-2; Intraocular pressure; Knee motion; Leptin; Leptin; Low affinity immunoglobulin epsilon Fc receptor; Low affinity immunoglobulin epsilon Fc receptor; Lymphocytes; Lymphotoxin-alpha; Lymphotoxin-alpha; Lymphotoxin-beta; Lymphotoxin-beta; Macrophage metalloelastase; Macrophage metalloelastase; Osteocalcin; Procollagen Type I N-terminal peptide; Respiratory frequency; Saposin-D; Saposin-D; Six-minute walk distance; Stromelysin-1; Stromelysin-1; T-lymphocyte surface antigen Ly-9; T-lymphocyte surface antigen Ly-9; Total body mass,Duchenne dystrophy,prednisone; vamorolone; vamorolone,Phase 2b Clinical,C2B,vamorolone,70712,120,vamorolone,120,VISION DMD,A Study to Assess the Efficacy and Safety of Vamorolone in Boys With Duchenne Muscular Dystrophy (DMD),118942; 2017-002704-27; FDA IND 118942; NCT03439670; VBP15-004; VBP15-004-A1; VBP15-004-A2; VBP15-004-A3; VISION DMD,ReveraGen BioPharma Inc,329964,"JUNE     , 19, 2018",Recruiting
1,null,Asthma,null,Phase 1 Clinical,C1,"budesonide + procaterol hydrochloride (MDI formulation, asthma), Intech Biopharm",91606,16,"budesonide + procaterol hydrochloride (MDI formulation, asthma), Intech Biopharm",16,null,"Multiple-dose, Pharmacokinetics Study of 'SYN-006 HFA MDI' Administered Orally to Healthy Volunteers",MCPK10002J1; NCT02165033,"Benefit Biotechnology Co, Ltd, Intech Biopharm Ltd",203681,"NOVEMBER , 30, 2012",Completed
1,Alkaline phosphatase; Blood pressure; Body temperature; Estradiol; Follicle-stimulating hormone; Glucose; Heart rate; Hydrocortisone; Luteinizing Hormone; Lymphocytes; PR interval; Prostate-specific antigen; QRS complex; QT interval; Sex hormone-binding globulin; Testosterone,Bone metastases,null,Phase 1/Phase 2 Clinical,C12,"dexamethasone (liposome formulation, castration resistant prostate carcinoma/multiple myeloma), Enceladus",77410,10,Oncocort,10,null,Study investigating intravenously administrated Oncocort in patients with metastatic prostate cancer,2016-003121-42; CHDR1635,Enceladus Pharmaceuticals,291118,"NOVEMBER , 28, 2016",Recruiting
1,null,Perennial allergic rhinitis,null,Phase 3 Clinical,C3,"beclomethasone dipropionate  (waterless nasal spray, allergic rhinitis), Teva",76229,547,Qnaze,547,null,Study of an Investigational Nasal Aerosol or Placebo in Children (Ages 4 to 11) With Perennial Allergic Rhinitis (PAR),BDP-AR-306; NCT01783548,Teva Pharmaceutical Industries Ltd,107743,"JANUARY  , 31, 2013",Completed
2,null,Herpesvirus infection,acyclovir,Phase 3 Clinical,C3,"aciclovir + hydrocortisone (dermatological), Medivir",17335,1443,ME-609,2437,null,Efficacy And Safety Study Of ME-609 And Acyclovir For Treatment Of Herpes Simplex Labialis,609-04; NCT00361881,Medivir AB,11577,"JULY     , 31, 2006",Completed
2,Forced expiratory volume,Chronic obstructive pulmonary disease,formoterol,Phase 3 Clinical,C3,"budesonide + formoterol (inhalant aerosol, chronic obstructive pulmonary disease), Pearl Therapeutics",70143,1941,PT-009,1941,Sophos,A Study to Assess the Efficacy and Safety of PT-009 Compared to PT-005 on COPD Exacerbations Over a 52 Weeks Period in Subjects With Moderate to Very Severe COPD,2016-000155-28; D7820C00002; NCT02727660; PT009003; Sophos,Pearl Therapeutics Inc,257369,"APRIL    , 29, 2016",Completed
1,Forced expiratory volume; Fractional concentration of exhaled nitric oxide; Peak expiratory flow rate,Asthma,null,Phase 2a Clinical,C2A,"fluticasone furoate + vilanterol trifenatate  (oral inhalant, asthma/COPD), GlaxoSmithKline",59060,28,Relvar,27,null,"A Phase IIa, FF/VI Study to Measure FeNO in Asthmatic Patients",201499; NCT02712047,GlaxoSmithKline plc,256043,"APRIL    , 29, 2016",Completed
1,Cortisol,Allergic rhinitis,null,Phase 4 Clinical,C4,"fluticasone furoate (nasal, allergic rhinitis), GSK",42259,474,fluticasone furoate,450,null,Phase IV Fluticasone Furoate Nasal Spray (Veramyst) Long-Term Pediatric Growth Study,EudraCT: 2007-005148-26; FFR101782; NCT00570492,GlaxoSmithKline plc,14133,"NOVEMBER , 26, 2007",Completed
2,Corneal endothelium; Fundus of eye; Intraocular pressure; Visual acuity,Ocular inflammation,prednisolone,Phase 3 Clinical,C3,"dexamethasone intraocular injection (controlled/sustained release/Verisome), EyePoint",65274,194,IBI-10090,194,null,Study to Evaluate the Safety for the Treatment of Inflammation Associated With Cataract Surgery,C15-01; NCT02547623,Icon Bioscience Inc,240288,"NOVEMBER , 06, 2015",Completed
1,null,Crohns disease,null,Phase 4 Clinical,C4,"budesonide (oral capsule/enema, Crohn's disease/microsopic colitis/ulcerative colitis), AstraZeneca/ Tillotts Pharma/ Perrigo",55981,200,Zentacort,200,null,Investigation of the safety and efficacy of Budesonide (Zentacort capsules) in patients with Crohn's disease,JapicCTI-184152,Zeria Pharmaceutical Co Ltd,357577,"SEPTEMBER, 30, 2017",Recruiting
2,Fovea centralis; Intraocular pressure; Retina; Visual acuity,Diabetic macular edema,null,Phase 1/Phase 2 Clinical,C12,"suprachoroidal triamcinolone acetonide + intravitreal aflibercept (diabetic macular edema), Clearside Biomedical",92483,20,"CLS-1003; triamcinolone acetonide (suprachoroidal, macular edema/uveitis), Clearside Biomedical; triamcinolone acetonide (suprachoroidal, macular edema/uveitis), Clearside Biomedical",20,HULK,Suprachoroidal Injection of CLS-TA Alone or With Aflibercept in Subjects With Diabetic Macular Edema,CLS1004-101; HULK; NCT02944240; NCT02949024,Clearside Biomedical Inc,277937,"NOVEMBER , 30, 2016",Completed
1,Macula retinae; Visual acuity,Diabetic macular edema,null,Phase 2/Phase 3 Clinical,C23,"triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",12937,64,triamcinolone acetonide,64,TDMX Study,"Open-Label, Extension of a Clinical Trial of Intravitreal Triamcinolone for Diabetic Macular Edema",ACTRN12605000244606; NCT00148330; NHMRC project 402573; TDMX Study,University of Sydney,177951,"MAY      , 31, 2005",Completed
2,null,Psoriasis,null,Phase 3 Clinical,C3,"betamethasone valerate (topical emollient foam, psoriasis/dermatitis), Foamix",53978,170,"Prednisolone acetate cream; betamethasone valerate (topical emollient foam, psoriasis/dermatitis), Foamix",170,null,Efficacy and Tolerability of Prednisolone Acetate 0.5% Cream Versus Betamethasone Valerate 0.1% Cream in Cortisosensitive Dermatosis,NCT01011621; PRE/P/08-1,Mantecorp Industria Quimica e Farmaceutica Ltd,180987,"FEBRUARY , 28, 2010",Not yet recruiting
2,null,Seborrheic dermatitis,null,Phase 3 Clinical,C3,"betamethasone valerate (topical emollient foam, psoriasis/dermatitis), Foamix",53978,170,"Prednisolone acetate cream; betamethasone valerate (topical emollient foam, psoriasis/dermatitis), Foamix",170,null,Efficacy and Tolerability of Prednisolone Acetate 0.5% Cream Versus Betamethasone Valerate 0.1% Cream in Cortisosensitive Dermatosis,NCT01011621; PRE/P/08-1,Mantecorp Industria Quimica e Farmaceutica Ltd,180987,"FEBRUARY , 28, 2010",Not yet recruiting
1,Fovea centralis,Diabetic macular edema,null,Phase not specified,NS,"difluprednate (ophthalmic emulsion, ocular inflammation/pain ), Alcon",55599,20,"difluprednate (ophthalmic emulsion, ocular inflammation/pain ), Alcon",20,null,Evaluation Of Durezol9415 For Macular Edema And Neovascular Disease,JPRN-UMIN000001432; UMIN000001432,Yamagata University,234454,"NOVEMBER , 01, 2008",Recruiting
2,FEV1,Asthma,null,Phase 3 Clinical,C3,"fluticasone furoate (inhaled, respiratory disorders), GlaxoSmithKline",57097,2020,Relovair; fluticasone furoate,2019,null,Asthma Exacerbation Study,106837; 2009-011461-84; HZA106837; JapicCTI-101072; NCT01086384,GlaxoSmithKline plc,64836,"FEBRUARY , 22, 2010",Completed
